,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state,time
39,-32.674,150.822,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,71,6.0NRT,307.7,42.9,D,New South Wales,2019-12
40,-32.623,150.251,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,67,6.0NRT,306.5,25.2,D,New South Wales,2019-12
41,-32.685,150.821,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,63,6.0NRT,307.4,35.3,D,New South Wales,2019-12
42,-32.698,150.835,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,37,6.0NRT,305.9,17.0,D,New South Wales,2019-12
43,-32.7,150.851,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,78,6.0NRT,306.4,39.6,D,New South Wales,2019-12
44,-32.701,150.868,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,62,6.0NRT,307.3,37.6,D,New South Wales,2019-12
45,-32.703,150.884,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,53,6.0NRT,307.6,33.6,D,New South Wales,2019-12
46,-32.723,150.963,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,40,6.0NRT,308.0,22.1,D,New South Wales,2019-12
47,-32.729,150.914,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,54,6.0NRT,307.3,27.0,D,New South Wales,2019-12
48,-32.66,150.199,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,37,6.0NRT,305.2,21.3,D,New South Wales,2019-12
49,-32.662,150.214,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,314.2,375.1,D,New South Wales,2019-12
50,-32.733,150.847,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,47,6.0NRT,307.4,17.3,D,New South Wales,2019-12
51,-32.74,150.912,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,68,6.0NRT,307.4,32.8,D,New South Wales,2019-12
52,-32.672,150.212,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,52,6.0NRT,305.8,30.9,D,New South Wales,2019-12
53,-32.747,150.877,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,19,6.0NRT,306.9,20.2,D,New South Wales,2019-12
54,-32.749,150.894,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,88,6.0NRT,307.4,63.4,D,New South Wales,2019-12
55,-32.667,150.207,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,81,6.0NRT,305.9,50.5,D,New South Wales,2019-12
56,-32.668,150.222,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,33,6.0NRT,307.4,22.0,D,New South Wales,2019-12
57,-32.734,150.841,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,8,6.0NRT,307.4,12.8,D,New South Wales,2019-12
58,-32.741,150.905,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,25,6.0NRT,306.9,18.3,D,New South Wales,2019-12
59,-32.75,150.887,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,93,6.0NRT,307.8,84.8,D,New South Wales,2019-12
60,-32.688,150.116,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,84,6.0NRT,301.4,45.5,D,New South Wales,2019-12
61,-32.69,150.13,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,299.2,169.0,D,New South Wales,2019-12
62,-32.692,150.145,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,310.9,313.5,D,New South Wales,2019-12
63,-32.693,150.16,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,98,6.0NRT,308.7,107.5,D,New South Wales,2019-12
64,-32.695,150.174,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,82,6.0NRT,306.8,51.3,D,New South Wales,2019-12
65,-32.698,150.202,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,94,6.0NRT,306.9,80.6,D,New South Wales,2019-12
66,-32.7,150.216,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,310.3,198.4,D,New South Wales,2019-12
67,-32.699,150.114,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,39,6.0NRT,298.6,17.1,D,New South Wales,2019-12
