,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,radiative_power,daynight,state
1547,2752,16650,16650,-32.413,123.592,low,1.0,1.0,2020-01-01,1435,T,100,6.0NRT,297.9,35.0,N,Western Australia
1548,3932,3886,3886,-36.099,149.62,very low,1.2,1.1,2019-12-30,345,A,0,6.0NRT,283.7,33.2,D,New South Wales
1549,830,2931,2931,-37.756,149.396,moderate,2.2,1.4,2019-12-29,1540,A,100,6.0NRT,305.0,718.4,N,Victoria
1550,4003,14346,14346,-35.649,148.192,moderate,2.3,1.5,2020-01-01,330,A,33,6.0NRT,301.0,49.6,D,New South Wales
1551,224,4978,4978,-27.894,131.981,moderate,1.7,1.3,2019-12-30,525,A,79,6.0NRT,308.7,47.8,D,South Australia
1552,2461,2619,2619,-31.404,151.806,low,2.7,1.6,2019-12-29,1540,A,100,6.0NRT,295.4,137.6,N,New South Wales
1553,4225,18608,18608,-36.906,146.671,high,1.0,1.0,2020-01-02,415,A,86,6.0NRT,310.2,29.3,D,Victoria
1554,1673,26220,26220,-37.371,149.574,very low,1.0,1.0,2020-01-04,400,A,100,6.0NRT,286.1,203.5,D,Victoria
1555,3644,31927,31927,-36.404,149.554,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,291.9,50.7,N,New South Wales
1556,717,26440,26440,-37.137,147.912,moderate,1.0,1.0,2020-01-04,400,A,100,6.0NRT,309.8,136.7,D,Victoria
1557,3879,29975,29975,-31.438,151.816,low,4.3,1.9,2020-01-04,1330,T,100,6.0NRT,295.7,123.0,N,New South Wales
1558,1109,34225,34225,-18.215,143.023,low,1.1,1.0,2020-01-05,1545,A,100,6.0NRT,296.2,18.5,N,Queensland
1559,3998,27705,27705,-36.465,147.732,high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,317.5,132.2,D,Victoria
1560,4121,30432,30432,-37.436,148.508,very low,1.9,1.3,2020-01-04,1325,T,31,6.0NRT,286.6,36.9,N,Victoria
1561,2840,9900,9900,-37.407,148.536,moderate,1.8,1.3,2019-12-30,1445,A,100,6.0NRT,308.9,0.0,N,Victoria
1562,3844,23340,23340,-37.258,147.99,low,1.3,1.1,2020-01-03,1245,T,100,6.0NRT,291.1,28.9,N,Victoria
1563,2209,32079,32079,-37.126,149.798,high,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,312.7,0.0,N,New South Wales
1564,4176,22481,22481,-35.98,136.727,very high,1.1,1.0,2020-01-03,500,A,100,6.0NRT,321.6,0.0,D,South Australia
1565,1889,2275,2275,-28.895,128.98,moderate,1.0,1.0,2019-12-29,1405,T,100,6.0NRT,303.0,14.4,N,Western Australia
1566,100,16575,16575,-18.442,145.26,very low,1.0,1.0,2020-01-01,1300,T,27,6.0NRT,275.7,7.0,N,Queensland
1567,2885,28842,28842,-35.879,147.52,high,1.0,1.0,2020-01-04,400,A,94,6.0NRT,315.6,69.6,D,New South Wales
1568,1517,9563,9563,-36.088,147.606,very low,2.2,1.4,2019-12-30,1445,A,0,6.0NRT,267.7,50.3,N,Victoria
1569,3552,27141,27141,-36.941,146.666,very high,1.1,1.0,2020-01-04,400,A,100,6.0NRT,330.0,469.7,D,Victoria
1570,1431,10823,10823,-34.973,150.131,high,1.1,1.0,2019-12-31,10,T,87,6.0NRT,315.6,25.5,D,New South Wales
1571,3477,18990,18990,-35.148,150.459,low,1.5,1.2,2020-01-02,415,A,93,6.0NRT,299.2,88.4,D,New South Wales
1572,4358,31032,31032,-29.07,150.8,low,1.1,1.0,2020-01-04,1505,A,100,6.0NRT,299.6,40.1,N,New South Wales
1573,20,8832,8832,-34.283,150.298,low,1.6,1.3,2019-12-30,1445,A,50,6.0NRT,296.7,17.1,N,New South Wales
1574,4909,24337,24337,-29.431,152.117,low,1.1,1.0,2020-01-03,1245,T,73,6.0NRT,290.5,9.1,N,New South Wales
1575,3943,6095,6095,-37.418,148.318,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,301.3,38.4,N,Victoria
1576,3689,6951,6951,-36.359,149.647,very high,1.3,1.1,2019-12-30,1310,T,100,6.0NRT,368.4,2266.9,N,New South Wales
1577,2541,19297,19297,-32.968,123.71,moderate,1.3,1.1,2020-01-02,555,A,100,6.0NRT,304.2,145.5,D,Western Australia
1578,2951,20173,20173,-30.739,123.655,very high,1.4,1.2,2020-01-02,555,A,97,6.0NRT,324.4,71.3,D,Western Australia
1579,1449,26745,26745,-37.097,147.255,high,1.1,1.0,2020-01-04,400,A,100,6.0NRT,310.1,114.0,D,Victoria
1580,4697,25894,25894,-37.638,148.97,moderate,1.4,1.2,2020-01-03,2345,T,81,6.0NRT,303.4,38.0,D,Victoria
1581,3666,30449,30449,-37.274,149.229,very low,2.1,1.4,2020-01-04,1325,T,0,6.0NRT,286.5,68.3,N,Victoria
1582,499,14403,14403,-34.988,150.092,moderate,1.7,1.3,2020-01-01,330,A,73,6.0NRT,300.7,37.4,D,New South Wales
1583,1023,3,3,-32.153,151.37,moderate,1.6,1.2,2019-12-29,25,T,62,6.0NRT,304.2,39.5,D,New South Wales
1584,1112,18856,18856,-35.881,148.331,low,1.1,1.1,2020-01-02,415,A,90,6.0NRT,299.8,48.3,D,New South Wales
1585,1099,28698,28698,-35.875,148.356,high,1.0,1.0,2020-01-04,400,A,94,6.0NRT,315.6,280.8,D,New South Wales
1586,4632,5548,5548,-37.581,148.335,very low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,281.5,0.0,N,Victoria
1587,819,19554,19554,-32.468,123.451,moderate,1.3,1.1,2020-01-02,555,A,23,6.0NRT,309.3,9.8,D,Western Australia
1588,4895,1154,1154,-33.197,123.726,very high,3.0,1.6,2019-12-29,620,A,100,6.0NRT,329.8,1404.5,D,Western Australia
1589,1297,4142,4142,-33.785,150.148,moderate,1.1,1.1,2019-12-30,345,A,84,6.0NRT,307.1,68.5,D,New South Wales
1590,3835,28234,28234,-36.034,148.334,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,400.1,0.0,D,New South Wales
1591,2950,22460,22460,-35.967,136.841,moderate,1.1,1.0,2020-01-03,500,A,100,6.0NRT,308.4,160.4,D,South Australia
1592,3912,31195,31195,-31.716,151.859,moderate,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,301.5,19.5,N,New South Wales
1593,1817,33190,33190,-37.44,149.507,very low,1.0,1.0,2020-01-04,1505,A,79,6.0NRT,288.2,22.0,N,Victoria
1594,2588,9611,9611,-36.596,149.617,moderate,1.6,1.2,2019-12-30,1445,A,100,6.0NRT,300.0,39.1,N,New South Wales
1595,2829,11841,11841,-31.524,151.277,moderate,3.2,1.7,2019-12-31,430,A,68,6.0NRT,306.0,106.6,D,New South Wales
1596,4286,19244,19244,-33.163,123.771,very high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,326.4,528.7,D,Western Australia
1597,3785,240,240,-31.592,151.224,moderate,1.5,1.2,2019-12-29,20,T,80,6.0NRT,305.7,62.7,D,New South Wales
1598,3299,34032,34032,-24.633,146.651,low,1.7,1.3,2020-01-05,1235,T,44,6.0NRT,297.9,10.7,N,Queensland
1599,3619,2346,2346,-28.87,128.83,high,1.0,1.0,2019-12-29,1405,T,100,6.0NRT,310.7,206.9,N,Western Australia
1600,4192,4760,4760,-32.717,121.028,high,1.9,1.3,2019-12-30,525,A,100,6.0NRT,314.4,349.7,D,Western Australia
1601,3333,18353,18353,-37.666,148.646,low,1.1,1.1,2020-01-02,415,A,100,6.0NRT,299.5,118.3,D,Victoria
1602,4689,18831,18831,-35.931,148.331,moderate,1.1,1.1,2020-01-02,415,A,92,6.0NRT,301.9,54.5,D,New South Wales
1603,4386,931,931,-24.643,128.306,moderate,2.6,1.6,2019-12-29,445,A,81,6.0NRT,309.0,100.7,D,Western Australia
1604,605,22685,22685,-35.834,136.758,very high,1.1,1.0,2020-01-03,500,A,100,6.0NRT,322.3,64.9,D,South Australia
1605,3808,17359,17359,-35.242,149.958,moderate,1.0,1.0,2020-01-02,0,T,59,6.0NRT,303.5,11.4,D,New South Wales
1606,1809,22317,22317,-32.707,150.071,moderate,2.5,1.5,2020-01-03,320,A,53,6.0NRT,305.1,45.9,D,New South Wales
1607,4609,3804,3804,-37.107,148.123,high,1.5,1.2,2019-12-30,345,A,94,6.0NRT,310.2,233.4,D,Victoria
1608,3199,22021,22021,-37.19,147.094,low,1.9,1.4,2020-01-03,40,T,79,6.0NRT,297.9,58.4,D,Victoria
1609,1159,23148,23148,-37.53,149.255,low,1.2,1.1,2020-01-03,1245,T,100,6.0NRT,295.2,27.4,N,Victoria
1610,1230,12155,12155,-37.67,148.764,very low,3.5,1.8,2019-12-31,1215,T,42,6.0NRT,283.6,44.5,N,Victoria
1611,2337,27689,27689,-36.476,147.723,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,326.6,287.0,D,Victoria
1612,3928,523,523,-29.051,128.2,very high,1.8,1.3,2019-12-29,200,T,78,6.0NRT,321.5,61.3,D,Western Australia
1613,1520,99,99,-33.749,150.159,low,1.4,1.2,2019-12-29,25,T,99,6.0NRT,299.5,129.9,D,New South Wales
1614,3812,12030,12030,-34.38,117.984,high,1.0,1.0,2019-12-31,605,A,78,6.0NRT,313.3,19.0,D,Western Australia
1615,4275,20959,20959,-36.447,149.944,very low,1.1,1.0,2020-01-02,1515,A,78,6.0NRT,289.7,22.2,N,New South Wales
1616,2345,3218,3218,-37.549,147.908,high,3.0,1.6,2019-12-29,2330,T,100,6.0NRT,313.5,1176.9,D,Victoria
1617,3797,2075,2075,-32.002,121.598,low,2.8,1.6,2019-12-29,1405,T,99,6.0NRT,294.5,71.5,N,Western Australia
1618,252,2895,2895,-37.69,149.402,very high,2.2,1.4,2019-12-29,1540,A,100,6.0NRT,400.1,5491.8,N,Victoria
