,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state
10321,10321,-31.808,151.847,moderate,1.1,1.1,2019-12-31,10,T,44,6.0NRT,308.0,18.1,D,New South Wales
6712,6712,-37.144,148.239,low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,293.2,36.1,N,Victoria
20543,20543,-30.88,132.712,moderate,1.3,1.1,2020-01-02,1340,T,95,6.0NRT,300.5,18.0,N,South Australia
9897,9897,-37.289,147.962,low,1.9,1.4,2019-12-30,1445,A,100,6.0NRT,296.9,194.6,N,Victoria
32990,32990,-37.424,149.814,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,280.3,62.4,N,New South Wales
9496,9496,-36.401,149.691,very high,1.6,1.2,2019-12-30,1445,A,100,6.0NRT,321.3,2237.5,N,New South Wales
34115,34115,-35.567,148.448,very low,1.8,1.3,2020-01-05,1230,T,91,6.0NRT,282.6,81.2,N,New South Wales
21096,21096,-36.639,148.128,very low,1.0,1.0,2020-01-02,1515,A,72,6.0NRT,285.6,10.3,N,Victoria
23255,23255,-37.41,148.9,low,1.2,1.1,2020-01-03,1245,T,52,6.0NRT,290.4,7.5,N,Victoria
33645,33645,-33.827,150.378,low,3.9,1.8,2020-01-05,310,A,96,6.0NRT,297.1,440.9,D,New South Wales
17636,17636,-37.37,147.729,low,1.2,1.1,2020-01-02,0,T,38,6.0NRT,294.0,14.5,D,Victoria
21915,21915,-36.459,149.949,low,2.9,1.6,2020-01-03,40,T,58,6.0NRT,294.9,74.5,D,New South Wales
10637,10637,-34.278,150.349,high,1.1,1.0,2019-12-31,10,T,75,6.0NRT,310.2,26.0,D,New South Wales
21810,21810,-14.664,143.058,moderate,1.2,1.1,2020-01-03,35,T,27,6.0NRT,300.9,13.6,D,Queensland
2816,2816,-37.623,149.365,low,2.2,1.4,2019-12-29,1540,A,100,6.0NRT,295.0,136.1,N,Victoria
21620,21620,-37.608,147.764,low,1.0,1.0,2020-01-02,1520,A,78,6.0NRT,290.4,18.3,N,Victoria
17210,17210,-24.592,146.71,low,3.4,1.7,2020-01-01,1610,A,76,6.0NRT,294.6,39.8,N,Queensland
3050,3050,-32.688,150.123,moderate,2.9,1.6,2019-12-29,2330,T,46,6.0NRT,302.4,89.9,D,New South Wales
28708,28708,-35.643,149.859,very high,1.0,1.0,2020-01-04,400,A,78,6.0NRT,320.1,114.6,D,New South Wales
32355,32355,-37.166,149.462,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,289.7,0.0,N,New South Wales
16237,16237,-35.611,148.183,low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,293.1,22.0,N,New South Wales
10407,10407,-32.581,150.224,moderate,1.0,1.0,2019-12-31,10,T,85,6.0NRT,309.7,34.1,D,New South Wales
13728,13728,-21.417,140.841,high,1.0,1.0,2020-01-01,50,T,94,6.0NRT,315.7,38.5,D,Queensland
23997,23997,-35.438,148.066,low,1.2,1.1,2020-01-03,1245,T,60,6.0NRT,295.9,7.7,N,New South Wales
31032,31032,-29.07,150.8,low,1.1,1.0,2020-01-04,1505,A,100,6.0NRT,299.6,40.1,N,New South Wales
31065,31065,-30.438,152.614,low,1.0,1.0,2020-01-04,1505,A,73,6.0NRT,295.8,6.4,N,New South Wales
11851,11851,-33.304,136.892,very high,1.5,1.2,2019-12-31,430,A,100,6.0NRT,322.5,364.1,D,South Australia
6800,6800,-37.078,148.138,low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,296.1,22.2,N,Victoria
16470,16470,-32.559,150.201,low,1.1,1.1,2020-01-01,1255,T,17,6.0NRT,292.7,4.7,N,New South Wales
3709,3709,-37.394,147.725,very high,1.6,1.3,2019-12-30,345,A,100,6.0NRT,328.8,1626.5,D,Victoria
8471,8471,-17.006,144.365,very low,1.3,1.1,2019-12-30,1315,T,28,6.0NRT,289.3,28.1,N,Queensland
21640,21640,-37.684,148.1,very low,1.0,1.0,2020-01-02,1520,A,100,6.0NRT,289.8,21.7,N,Victoria
17970,17970,-32.434,123.517,low,1.3,1.1,2020-01-02,135,T,46,6.0NRT,296.5,39.5,D,Western Australia
3668,3668,-37.454,147.681,very low,1.6,1.3,2019-12-30,345,A,84,6.0NRT,289.2,44.2,D,Victoria
5970,5970,-37.428,148.499,very low,1.1,1.0,2019-12-30,1310,T,93,6.0NRT,289.9,0.0,N,Victoria
25869,25869,-37.358,147.67,moderate,1.6,1.3,2020-01-03,2345,T,74,6.0NRT,307.1,58.6,D,Victoria
30375,30375,-37.146,149.816,very low,2.3,1.5,2020-01-04,1325,T,100,6.0NRT,273.5,0.0,N,New South Wales
32879,32879,-37.392,149.787,very low,1.0,1.0,2020-01-04,1505,A,23,6.0NRT,275.8,23.5,N,New South Wales
23915,23915,-35.625,149.862,low,1.1,1.0,2020-01-03,1245,T,100,6.0NRT,295.9,26.3,N,New South Wales
863,863,-28.539,128.516,very high,2.8,1.6,2019-12-29,440,A,55,6.0NRT,320.6,53.6,D,Western Australia
30611,30611,-36.972,146.899,very low,1.5,1.2,2020-01-04,1325,T,33,6.0NRT,286.1,22.4,N,Victoria
27631,27631,-36.494,147.797,moderate,1.0,1.0,2020-01-04,400,A,100,6.0NRT,305.9,668.1,D,Victoria
20122,20122,-31.245,121.145,very high,1.1,1.0,2020-01-02,555,A,100,6.0NRT,400.1,633.6,D,Western Australia
30042,30042,-37.663,149.105,very low,2.0,1.4,2020-01-04,1325,T,89,6.0NRT,289.1,102.7,N,Victoria
12126,12126,-30.769,123.376,high,2.0,1.4,2019-12-31,605,A,83,6.0NRT,310.4,81.5,D,Western Australia
20290,20290,-37.503,149.402,very low,3.2,1.7,2020-01-02,1340,T,69,6.0NRT,288.0,99.2,N,Victoria
17892,17892,-30.937,123.565,moderate,1.4,1.2,2020-01-02,135,T,53,6.0NRT,303.8,24.8,D,Western Australia
23465,23465,-37.076,147.019,low,1.5,1.2,2020-01-03,1245,T,94,6.0NRT,291.7,44.8,N,Victoria
33056,33056,-37.328,149.041,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,290.0,76.8,N,Victoria
27869,27869,-36.312,147.973,moderate,1.0,1.0,2020-01-04,400,A,51,6.0NRT,304.3,16.8,D,Victoria
1019,1019,-33.524,123.726,moderate,2.9,1.6,2019-12-29,620,A,42,6.0NRT,309.6,42.2,D,Western Australia
5980,5980,-37.462,148.291,low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,299.7,0.0,N,Victoria
931,931,-24.643,128.306,moderate,2.6,1.6,2019-12-29,445,A,81,6.0NRT,309.0,100.7,D,Western Australia
29608,29608,-32.608,150.684,high,1.2,1.1,2020-01-04,405,A,86,6.0NRT,310.7,41.3,D,New South Wales
22128,22128,-37.229,146.522,low,4.7,2.0,2020-01-03,320,A,71,6.0NRT,298.1,97.3,D,Victoria
30086,30086,-37.4,149.888,very low,2.3,1.5,2020-01-04,1325,T,31,6.0NRT,272.1,56.2,N,New South Wales
639,639,-34.395,118.08,high,1.1,1.1,2019-12-29,200,T,54,6.0NRT,312.8,45.5,D,Western Australia
29619,29619,-32.659,150.124,high,1.1,1.1,2020-01-04,405,A,93,6.0NRT,317.1,49.3,D,New South Wales
21713,21713,-31.694,132.894,moderate,2.5,1.5,2020-01-02,1655,A,100,6.0NRT,300.7,546.0,N,South Australia
517,517,-29.107,131.335,high,3.0,1.6,2019-12-29,200,T,60,6.0NRT,312.5,46.8,D,South Australia
11452,11452,-41.568,147.87,very high,1.2,1.1,2019-12-31,425,A,100,6.0NRT,322.3,569.3,D,Tasmania
16356,16356,-35.282,147.838,low,1.0,1.0,2020-01-01,1255,T,73,6.0NRT,293.4,8.7,N,New South Wales
6064,6064,-37.424,148.345,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,301.1,32.2,N,Victoria
24916,24916,-32.728,150.069,high,1.5,1.2,2020-01-03,2345,T,34,6.0NRT,311.9,17.6,D,New South Wales
6431,6431,-37.241,148.597,low,1.1,1.1,2019-12-30,1310,T,100,6.0NRT,292.3,26.7,N,Victoria
29257,29257,-35.268,147.897,very high,1.0,1.0,2020-01-04,405,A,100,6.0NRT,320.7,69.8,D,New South Wales
4669,4669,-34.453,118.156,very low,3.0,1.7,2019-12-30,525,A,72,6.0NRT,281.2,272.3,D,Western Australia
9319,9319,-36.196,149.54,low,1.7,1.3,2019-12-30,1445,A,25,6.0NRT,291.8,27.8,N,New South Wales
3828,3828,-36.968,148.272,high,1.5,1.2,2019-12-30,345,A,93,6.0NRT,311.0,81.6,D,Victoria
10757,10757,-34.892,150.358,very high,1.1,1.0,2019-12-31,10,T,100,6.0NRT,321.5,485.1,D,New South Wales
2416,2416,-28.703,128.778,moderate,1.0,1.0,2019-12-29,1405,T,100,6.0NRT,306.6,56.7,N,Western Australia
32379,32379,-37.168,149.414,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,289.6,0.0,N,New South Wales
2209,2209,-30.855,123.713,moderate,1.9,1.4,2019-12-29,1405,T,100,6.0NRT,303.9,361.1,N,Western Australia
5440,5440,-37.669,148.092,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,342.7,0.0,N,Victoria
24701,24701,-37.51,149.363,low,4.3,1.9,2020-01-03,1600,A,96,6.0NRT,293.1,122.9,N,Victoria
5149,5149,-24.747,127.473,low,1.1,1.0,2019-12-30,525,A,83,6.0NRT,298.1,27.9,D,Western Australia
32680,32680,-37.343,149.887,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,297.6,162.6,N,New South Wales
16661,16661,-32.465,123.174,low,1.0,1.0,2020-01-01,1435,T,80,6.0NRT,295.9,8.0,N,Western Australia
13281,13281,-37.42,148.926,very low,1.4,1.2,2019-12-31,1530,A,38,6.0NRT,287.8,19.3,N,Victoria
31205,31205,-31.77,151.788,moderate,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,301.0,16.0,N,New South Wales
22590,22590,-35.912,136.673,very high,1.1,1.0,2020-01-03,500,A,100,6.0NRT,325.6,0.0,D,South Australia
14872,14872,-28.956,128.754,very high,1.0,1.0,2020-01-01,510,A,96,6.0NRT,320.9,49.4,D,Western Australia
20828,20828,-36.077,149.991,very low,1.1,1.0,2020-01-02,1515,A,61,6.0NRT,289.2,13.1,N,New South Wales
21100,21100,-36.658,148.193,very low,1.0,1.0,2020-01-02,1515,A,51,6.0NRT,285.8,7.4,N,Victoria
22196,22196,-35.989,149.496,moderate,3.0,1.6,2020-01-03,320,A,56,6.0NRT,301.1,96.6,D,New South Wales
6109,6109,-37.456,148.087,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,305.1,81.2,N,Victoria
18086,18086,-19.653,144.53,high,1.2,1.1,2020-01-02,420,A,94,6.0NRT,318.4,49.0,D,Queensland
4071,4071,-34.89,150.318,high,1.1,1.1,2019-12-30,345,A,100,6.0NRT,313.6,358.9,D,New South Wales
7972,7972,-34.927,150.137,moderate,1.4,1.2,2019-12-30,1310,T,100,6.0NRT,301.6,63.9,N,New South Wales
808,808,-29.094,128.148,very high,3.0,1.7,2019-12-29,440,A,94,6.0NRT,325.6,173.0,D,Western Australia
14296,14296,-35.89,147.667,moderate,2.5,1.5,2020-01-01,330,A,75,6.0NRT,300.6,111.4,D,New South Wales
854,854,-28.585,128.533,very high,2.8,1.6,2019-12-29,440,A,80,6.0NRT,323.0,252.9,D,Western Australia
25090,25090,-35.711,149.938,moderate,1.3,1.1,2020-01-03,2345,T,74,6.0NRT,309.7,25.9,D,New South Wales
10954,10954,-35.628,149.968,moderate,1.1,1.0,2019-12-31,10,T,61,6.0NRT,301.0,23.7,D,New South Wales
