,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state
22954,22954,-35.864,147.473,moderate,4.2,1.9,2020-01-03,455,A,94,6.0NRT,307.7,438.1,D,New South Wales
9803,9803,-37.342,148.578,moderate,1.8,1.3,2019-12-30,1445,A,98,6.0NRT,300.1,89.1,N,Victoria
5776,5776,-37.497,148.46,very low,1.1,1.0,2019-12-30,1310,T,90,6.0NRT,288.4,0.0,N,Victoria
2102,2102,-31.923,121.47,low,2.8,1.6,2019-12-29,1405,T,100,6.0NRT,298.6,250.7,N,Western Australia
19573,19573,-32.49,123.265,very high,1.2,1.1,2020-01-02,555,A,97,6.0NRT,341.3,548.0,D,Western Australia
23242,23242,-37.389,149.169,low,1.2,1.1,2020-01-03,1245,T,100,6.0NRT,293.3,26.5,N,Victoria
9695,9695,-37.282,148.627,low,1.8,1.3,2019-12-30,1445,A,0,6.0NRT,290.0,29.9,N,Victoria
4112,4112,-34.258,150.337,very high,1.1,1.1,2019-12-30,345,A,100,6.0NRT,325.8,288.7,D,New South Wales
24877,24877,-32.576,150.386,high,1.4,1.2,2020-01-03,2345,T,89,6.0NRT,310.2,56.1,D,New South Wales
26857,26857,-37.022,147.469,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,328.6,867.5,D,Victoria
7885,7885,-35.433,147.903,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,320.5,1007.0,N,New South Wales
9499,9499,-35.997,147.673,very low,2.2,1.4,2019-12-30,1445,A,23,6.0NRT,279.0,45.2,N,Victoria
24336,24336,-29.43,152.128,low,1.1,1.0,2020-01-03,1245,T,100,6.0NRT,294.1,66.4,N,New South Wales
24075,24075,-34.351,150.339,low,1.0,1.0,2020-01-03,1245,T,100,6.0NRT,295.4,24.0,N,New South Wales
8262,8262,-32.573,150.236,low,1.6,1.2,2019-12-30,1310,T,41,6.0NRT,298.4,12.2,N,New South Wales
29839,29839,-17.62,143.933,moderate,1.0,1.0,2020-01-04,405,A,97,6.0NRT,309.3,70.8,D,Queensland
20839,20839,-35.914,148.334,low,1.0,1.0,2020-01-02,1515,A,24,6.0NRT,290.6,12.0,N,New South Wales
19956,19956,-31.014,123.702,high,1.4,1.2,2020-01-02,555,A,88,6.0NRT,312.8,48.9,D,Western Australia
20201,20201,-28.956,128.767,high,3.2,1.7,2020-01-02,555,A,85,6.0NRT,316.1,114.0,D,Western Australia
17190,17190,-17.041,144.616,very low,1.9,1.3,2020-01-01,1605,A,26,6.0NRT,284.4,8.0,N,Queensland
8832,8832,-34.283,150.298,low,1.6,1.3,2019-12-30,1445,A,50,6.0NRT,296.7,17.1,N,New South Wales
29203,29203,-35.019,150.066,high,1.1,1.0,2020-01-04,405,A,73,6.0NRT,314.9,45.0,D,New South Wales
31277,31277,-32.558,150.616,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,299.7,15.0,N,New South Wales
20881,20881,-35.877,147.515,low,1.0,1.0,2020-01-02,1515,A,61,6.0NRT,294.2,19.7,N,New South Wales
30797,30797,-35.867,147.589,low,1.8,1.3,2020-01-04,1325,T,94,6.0NRT,292.1,46.4,N,New South Wales
7149,7149,-36.216,149.583,moderate,1.3,1.1,2019-12-30,1310,T,100,6.0NRT,303.8,28.7,N,New South Wales
24796,24796,-29.444,152.16,moderate,1.3,1.1,2020-01-03,2345,T,50,6.0NRT,303.8,20.6,D,New South Wales
12324,12324,-34.927,149.993,very low,2.7,1.6,2019-12-31,1215,T,78,6.0NRT,283.2,53.3,N,New South Wales
16545,16545,-19.926,144.542,very low,1.0,1.0,2020-01-01,1300,T,55,6.0NRT,286.3,8.9,N,Queensland
29873,29873,-32.466,121.944,high,1.0,1.0,2020-01-04,540,A,83,6.0NRT,313.5,27.2,D,Western Australia
25061,25061,-35.24,149.962,high,1.4,1.2,2020-01-03,2345,T,58,6.0NRT,314.5,28.0,D,New South Wales
4698,4698,-32.905,123.671,moderate,1.3,1.1,2019-12-30,525,A,89,6.0NRT,302.0,53.7,D,Western Australia
18004,18004,-32.829,124.127,moderate,1.2,1.1,2020-01-02,135,T,98,6.0NRT,302.6,83.2,D,Western Australia
25010,25010,-34.85,150.094,high,1.4,1.2,2020-01-03,2345,T,100,6.0NRT,316.4,246.3,D,New South Wales
21953,21953,-36.973,146.814,low,1.8,1.3,2020-01-03,40,T,33,6.0NRT,296.1,28.1,D,Victoria
13761,13761,-28.458,128.465,moderate,3.7,1.8,2020-01-01,55,T,83,6.0NRT,307.2,178.2,D,Western Australia
1628,1628,-34.261,150.298,very low,1.6,1.3,2019-12-29,1225,T,48,6.0NRT,289.0,18.9,N,New South Wales
3948,3948,-35.578,149.924,very low,1.2,1.1,2019-12-30,345,A,0,6.0NRT,280.0,49.0,D,New South Wales
17685,17685,-17.411,145.224,moderate,4.3,1.9,2020-01-01,2355,T,81,6.0NRT,302.4,133.8,D,Queensland
19499,19499,-32.789,124.159,very high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,320.0,346.2,D,Western Australia
28793,28793,-35.784,148.341,moderate,1.0,1.0,2020-01-04,400,A,100,6.0NRT,301.0,0.0,D,New South Wales
21786,21786,-38.099,141.887,moderate,1.1,1.0,2020-01-03,45,T,100,6.0NRT,306.6,88.5,D,Victoria
5394,5394,-37.675,148.15,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,353.7,0.0,N,Victoria
27097,27097,-36.777,147.999,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,400.1,0.0,D,Victoria
28053,28053,-35.968,149.601,moderate,1.0,1.0,2020-01-04,400,A,40,6.0NRT,306.0,5.0,D,New South Wales
11777,11777,-32.558,150.482,high,2.6,1.6,2019-12-31,430,A,78,6.0NRT,310.0,72.3,D,New South Wales
11468,11468,-39.854,148.076,low,1.3,1.1,2019-12-31,425,A,100,6.0NRT,298.8,134.1,D,Tasmania
27982,27982,-36.278,147.692,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,324.7,496.0,D,Victoria
325,325,-24.711,127.211,high,1.4,1.2,2019-12-29,200,T,99,6.0NRT,315.9,91.9,D,Western Australia
20259,20259,-32.56,150.398,very low,3.9,1.8,2020-01-02,1200,T,42,6.0NRT,288.8,30.6,N,New South Wales
32331,32331,-37.159,149.476,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,291.1,0.0,N,New South Wales
28750,28750,-35.616,149.852,high,1.0,1.0,2020-01-04,400,A,92,6.0NRT,318.3,39.5,D,New South Wales
10387,10387,-32.629,150.787,moderate,1.1,1.0,2019-12-31,10,T,28,6.0NRT,309.8,11.5,D,New South Wales
5190,5190,-24.639,124.569,high,1.0,1.0,2019-12-30,525,A,93,6.0NRT,315.5,34.7,D,Western Australia
3487,3487,-34.004,142.199,high,2.1,1.4,2019-12-30,105,T,88,6.0NRT,311.3,76.4,D,New South Wales
23841,23841,-35.983,148.353,low,1.2,1.1,2020-01-03,1245,T,63,6.0NRT,290.6,20.3,N,New South Wales
9289,9289,-36.149,149.663,low,1.6,1.3,2019-12-30,1445,A,100,6.0NRT,296.2,121.3,N,New South Wales
8543,8543,-27.921,128.432,low,3.2,1.7,2019-12-30,1450,T,60,6.0NRT,293.2,31.0,N,Western Australia
15849,15849,-36.652,147.881,very low,1.0,1.0,2020-01-01,1255,T,30,6.0NRT,283.5,6.7,N,Victoria
30007,30007,-25.422,149.203,low,4.1,1.9,2020-01-04,1330,T,80,6.0NRT,296.2,61.1,N,Queensland
33875,33875,-32.741,121.23,high,2.7,1.6,2020-01-05,625,A,82,6.0NRT,313.9,104.4,D,Western Australia
28106,28106,-35.955,149.436,moderate,1.0,1.0,2020-01-04,400,A,81,6.0NRT,303.1,20.6,D,New South Wales
31946,31946,-36.424,149.62,low,1.0,1.0,2020-01-04,1505,A,80,6.0NRT,291.3,19.0,N,New South Wales
15512,15512,-37.619,147.714,very low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,288.8,25.0,N,Victoria
32013,32013,-37.088,149.795,very low,1.0,1.0,2020-01-04,1505,A,31,6.0NRT,278.5,44.0,N,New South Wales
21462,21462,-37.405,147.507,very low,1.0,1.0,2020-01-02,1520,A,100,6.0NRT,287.0,20.3,N,Victoria
12423,12423,-31.42,152.068,low,1.8,1.3,2019-12-31,1215,T,89,6.0NRT,294.6,24.3,N,New South Wales
32167,32167,-37.115,149.499,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,277.9,0.0,N,New South Wales
5622,5622,-37.562,148.33,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,359.1,0.0,N,Victoria
29771,29771,-24.902,147.746,very high,1.1,1.0,2020-01-04,405,A,97,6.0NRT,322.2,56.3,D,Queensland
31370,31370,-32.659,150.859,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,298.4,37.0,N,New South Wales
11695,11695,-35.756,136.775,low,1.6,1.2,2019-12-31,425,A,94,6.0NRT,292.0,198.0,D,South Australia
18011,18011,-35.767,136.772,moderate,3.1,1.7,2020-01-02,140,T,90,6.0NRT,300.7,191.8,D,South Australia
20565,20565,-27.823,131.82,moderate,1.3,1.1,2020-01-02,1340,T,84,6.0NRT,300.6,12.6,N,South Australia
3976,3976,-35.414,147.921,low,1.5,1.2,2019-12-30,345,A,80,6.0NRT,295.3,88.3,D,New South Wales
2971,2971,-28.874,128.828,low,3.3,1.7,2019-12-29,1720,A,68,6.0NRT,295.7,121.1,N,Western Australia
19580,19580,-32.415,123.634,moderate,1.3,1.1,2020-01-02,555,A,92,6.0NRT,307.7,62.7,D,Western Australia
3097,3097,-35.353,147.863,moderate,3.4,1.7,2019-12-29,2330,T,86,6.0NRT,309.2,139.9,D,New South Wales
5575,5575,-37.552,148.454,low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,292.6,0.0,N,Victoria
14171,14171,-18.452,145.264,high,2.2,1.4,2020-01-01,335,A,90,6.0NRT,311.9,99.8,D,Queensland
5372,5372,-37.672,148.225,very low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,289.1,0.0,N,Victoria
33596,33596,-30.495,115.424,high,1.5,1.2,2020-01-05,210,T,29,6.0NRT,313.6,13.0,D,Western Australia
16684,16684,-32.393,123.549,low,1.0,1.0,2020-01-01,1435,T,93,6.0NRT,296.2,13.3,N,Western Australia
12415,12415,-31.574,151.201,low,2.1,1.4,2019-12-31,1215,T,100,6.0NRT,293.3,56.4,N,New South Wales
30912,30912,-34.68,150.409,very low,2.9,1.6,2020-01-04,1325,T,36,6.0NRT,287.5,170.4,N,New South Wales
10318,10318,-31.774,151.816,high,1.1,1.1,2019-12-31,10,T,13,6.0NRT,313.0,16.8,D,New South Wales
19114,19114,-32.709,150.944,moderate,1.8,1.3,2020-01-02,415,A,77,6.0NRT,301.0,46.9,D,New South Wales
11159,11159,-36.286,147.84,very low,1.0,1.0,2019-12-31,10,T,93,6.0NRT,284.6,0.0,D,Victoria
29973,29973,-31.555,151.483,low,4.0,1.9,2020-01-04,1330,T,62,6.0NRT,294.8,36.6,N,New South Wales
20229,20229,-28.194,129.7,moderate,3.8,1.8,2020-01-02,555,A,72,6.0NRT,303.6,422.6,D,South Australia
9693,9693,-37.223,148.342,very low,1.8,1.3,2019-12-30,1445,A,100,6.0NRT,279.3,191.2,N,Victoria
18976,18976,-35.281,149.983,moderate,1.4,1.2,2020-01-02,415,A,82,6.0NRT,306.9,32.3,D,New South Wales
7656,7656,-35.947,147.639,low,1.1,1.0,2019-12-30,1310,T,71,6.0NRT,298.8,8.9,N,New South Wales
1614,1614,-34.885,150.298,very low,1.6,1.3,2019-12-29,1225,T,17,6.0NRT,287.8,11.9,N,New South Wales
3614,3614,-37.731,149.328,low,1.3,1.1,2019-12-30,345,A,66,6.0NRT,295.7,102.6,D,Victoria
16774,16774,-32.342,123.45,low,1.0,1.0,2020-01-01,1435,T,78,6.0NRT,295.7,8.4,N,Western Australia
24086,24086,-34.305,150.261,low,1.0,1.0,2020-01-03,1245,T,75,6.0NRT,293.6,7.8,N,New South Wales
27205,27205,-36.927,146.657,very high,1.1,1.0,2020-01-04,400,A,100,6.0NRT,321.5,102.4,D,Victoria
19566,19566,-32.442,123.542,very high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,322.2,282.2,D,Western Australia
25643,25643,-37.451,149.52,moderate,1.3,1.1,2020-01-03,2345,T,83,6.0NRT,307.3,32.2,D,Victoria
16575,16575,-18.442,145.26,very low,1.0,1.0,2020-01-01,1300,T,27,6.0NRT,275.7,7.0,N,Queensland
30093,30093,-37.649,148.713,very low,1.9,1.3,2020-01-04,1325,T,71,6.0NRT,279.1,31.5,N,Victoria
21599,21599,-37.691,148.674,very low,1.0,1.0,2020-01-02,1520,A,48,6.0NRT,288.6,13.7,N,Victoria
30381,30381,-37.179,149.663,very low,2.2,1.4,2020-01-04,1325,T,90,6.0NRT,273.3,0.0,N,New South Wales
9433,9433,-36.344,149.695,very high,1.6,1.2,2019-12-30,1445,A,100,6.0NRT,339.8,1042.6,N,New South Wales
14080,14080,-31.458,152.098,moderate,1.2,1.1,2020-01-01,335,A,59,6.0NRT,303.4,18.4,D,New South Wales
13605,13605,-32.471,121.973,low,1.0,1.0,2019-12-31,1705,A,34,6.0NRT,290.4,7.8,N,Western Australia
25605,25605,-37.021,147.398,very high,1.7,1.3,2020-01-03,2345,T,100,6.0NRT,342.2,1337.4,D,Victoria
22388,22388,-36.062,136.729,low,1.1,1.0,2020-01-03,500,A,100,6.0NRT,296.3,0.0,D,South Australia
19422,19422,-32.838,124.104,high,1.3,1.1,2020-01-02,555,A,96,6.0NRT,319.1,84.5,D,Western Australia
13252,13252,-37.413,149.166,very low,1.4,1.2,2019-12-31,1530,A,100,6.0NRT,289.4,74.9,N,Victoria
24389,24389,-25.415,149.216,low,1.0,1.0,2020-01-03,1245,T,91,6.0NRT,298.5,10.2,N,Queensland
9376,9376,-36.26,149.625,moderate,1.6,1.3,2019-12-30,1445,A,100,6.0NRT,303.6,132.2,N,New South Wales
20386,20386,-38.045,141.862,low,1.2,1.1,2020-01-02,1340,T,100,6.0NRT,291.8,53.3,N,Victoria
28299,28299,-36.002,148.361,high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,316.2,0.0,D,New South Wales
8406,8406,-24.65,146.8,low,1.4,1.2,2019-12-30,1310,T,77,6.0NRT,296.0,12.5,N,Queensland
8454,8454,-19.361,143.332,low,1.1,1.0,2019-12-30,1315,T,100,6.0NRT,298.7,39.8,N,Queensland
33856,33856,-32.606,121.982,high,3.0,1.6,2020-01-05,625,A,100,6.0NRT,319.0,1346.2,D,Western Australia
16461,16461,-32.565,150.29,low,1.1,1.1,2020-01-01,1255,T,38,6.0NRT,291.7,7.1,N,New South Wales
18826,18826,-35.941,148.332,moderate,1.1,1.1,2020-01-02,415,A,100,6.0NRT,304.6,120.7,D,New South Wales
22310,22310,-33.15,150.082,moderate,2.5,1.5,2020-01-03,320,A,81,6.0NRT,307.7,103.6,D,New South Wales
21517,21517,-37.671,149.089,very low,1.0,1.0,2020-01-02,1520,A,100,6.0NRT,288.5,27.3,N,Victoria
27146,27146,-36.541,149.522,high,1.0,1.0,2020-01-04,400,A,84,6.0NRT,311.0,20.6,D,New South Wales
20996,20996,-36.511,149.593,very low,1.1,1.0,2020-01-02,1515,A,84,6.0NRT,287.7,13.9,N,New South Wales
21114,21114,-36.659,147.881,very low,1.0,1.0,2020-01-02,1515,A,88,6.0NRT,287.2,14.1,N,Victoria
29250,29250,-34.958,149.985,very high,1.0,1.0,2020-01-04,405,A,100,6.0NRT,326.8,218.6,D,New South Wales
5250,5250,-37.576,149.466,very low,1.2,1.1,2019-12-30,1310,T,74,6.0NRT,281.1,29.3,N,Victoria
18942,18942,-35.772,148.174,moderate,1.1,1.1,2020-01-02,415,A,87,6.0NRT,302.7,40.2,D,New South Wales
23815,23815,-35.845,150.066,low,1.1,1.0,2020-01-03,1245,T,58,6.0NRT,293.5,6.9,N,New South Wales
9956,9956,-37.315,148.012,very low,1.9,1.4,2019-12-30,1445,A,34,6.0NRT,278.1,37.3,N,Victoria
30148,30148,-37.31,149.857,very low,2.3,1.5,2020-01-04,1325,T,100,6.0NRT,277.5,0.0,N,New South Wales
20949,20949,-36.106,147.88,low,1.0,1.0,2020-01-02,1515,A,6,6.0NRT,291.3,4.9,N,Victoria
17506,17506,-36.244,149.993,low,1.0,1.0,2020-01-02,0,T,91,6.0NRT,298.2,78.4,D,New South Wales
19805,19805,-32.564,122.015,high,1.1,1.0,2020-01-02,555,A,77,6.0NRT,317.8,37.5,D,Western Australia
23514,23514,-36.854,148.354,low,1.2,1.1,2020-01-03,1245,T,26,6.0NRT,293.6,15.9,N,New South Wales
20163,20163,-30.798,123.354,very high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,329.5,122.7,D,Western Australia
15130,15130,-37.602,149.12,very low,1.0,1.0,2020-01-01,1255,T,22,6.0NRT,285.4,8.8,N,Victoria
16428,16428,-32.615,150.244,low,1.1,1.1,2020-01-01,1255,T,100,6.0NRT,295.1,38.9,N,New South Wales
32498,32498,-37.206,149.433,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,288.2,43.8,N,New South Wales
13739,13739,-25.417,149.19,moderate,3.1,1.7,2020-01-01,50,T,42,6.0NRT,302.8,54.2,D,Queensland
8509,8509,-32.504,121.969,very low,1.1,1.0,2019-12-30,1450,T,68,6.0NRT,287.8,9.4,N,Western Australia
5504,5504,-37.631,148.145,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,337.2,0.0,N,Victoria
32808,32808,-37.298,149.309,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,299.9,238.6,N,Victoria
6594,6594,-37.277,147.927,low,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,296.8,24.0,N,Victoria
20072,20072,-30.889,123.484,very high,1.3,1.1,2020-01-02,555,A,75,6.0NRT,320.1,33.3,D,Western Australia
17022,17022,-32.702,150.109,very low,2.9,1.6,2020-01-01,1435,A,100,6.0NRT,289.0,90.4,N,New South Wales
1598,1598,-34.95,150.44,very low,1.6,1.3,2019-12-29,1225,T,28,6.0NRT,289.9,10.8,N,New South Wales
28971,28971,-35.221,150.472,high,1.1,1.0,2020-01-04,400,A,82,6.0NRT,314.4,30.7,D,New South Wales
9264,9264,-36.138,149.654,low,1.6,1.3,2019-12-30,1445,A,100,6.0NRT,290.7,72.1,N,New South Wales
7,7,-32.161,151.347,moderate,1.6,1.2,2019-12-29,25,T,90,6.0NRT,306.4,89.6,D,New South Wales
30132,30132,-37.448,149.357,very low,2.1,1.4,2020-01-04,1325,T,60,6.0NRT,288.1,75.5,N,Victoria
27435,27435,-36.367,149.575,high,1.0,1.0,2020-01-04,400,A,99,6.0NRT,312.0,70.2,D,New South Wales
20294,20294,-37.514,149.291,very low,3.2,1.7,2020-01-02,1340,T,26,6.0NRT,284.4,33.2,N,Victoria
19454,19454,-33.149,122.218,moderate,1.1,1.0,2020-01-02,555,A,85,6.0NRT,308.9,40.9,D,Western Australia
13270,13270,-37.48,149.708,low,1.5,1.2,2019-12-31,1530,A,100,6.0NRT,292.2,99.8,N,Victoria
23683,23683,-36.459,147.802,low,1.3,1.1,2020-01-03,1245,T,45,6.0NRT,293.4,10.7,N,Victoria
10694,10694,-34.288,150.024,moderate,1.0,1.0,2019-12-31,10,T,24,6.0NRT,308.1,12.1,D,New South Wales
286,286,-24.651,128.28,high,1.6,1.2,2019-12-29,200,T,94,6.0NRT,313.6,702.2,D,Western Australia
28798,28798,-35.792,148.286,high,1.0,1.0,2020-01-04,400,A,79,6.0NRT,311.7,32.3,D,New South Wales
4426,4426,-31.507,151.317,moderate,1.0,1.0,2019-12-30,345,A,100,6.0NRT,309.9,87.7,D,New South Wales
7816,7816,-35.518,148.006,very high,1.1,1.1,2019-12-30,1310,T,100,6.0NRT,323.1,589.2,N,New South Wales
24855,24855,-32.616,150.781,moderate,1.4,1.2,2020-01-03,2345,T,82,6.0NRT,309.0,42.6,D,New South Wales
8622,8622,-31.421,151.799,low,1.5,1.2,2019-12-30,1445,A,95,6.0NRT,294.3,26.1,N,New South Wales
22860,22860,-39.899,148.093,low,3.5,1.8,2020-01-03,455,A,0,6.0NRT,292.8,76.8,D,Tasmania
17337,17337,-34.939,149.976,moderate,1.0,1.0,2020-01-02,0,T,74,6.0NRT,302.2,19.3,D,New South Wales
32108,32108,-37.145,149.864,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,290.3,0.0,N,New South Wales
9275,9275,-36.157,149.688,moderate,1.6,1.3,2019-12-30,1445,A,100,6.0NRT,304.3,193.7,N,New South Wales
29035,29035,-35.121,150.466,high,1.1,1.0,2020-01-04,400,A,100,6.0NRT,310.3,78.4,D,New South Wales
5890,5890,-37.468,148.401,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,302.9,0.0,N,Victoria
7243,7243,-36.129,149.613,moderate,1.3,1.1,2019-12-30,1310,T,100,6.0NRT,304.0,32.9,N,New South Wales
34724,20568,-24.986,131.085,low,1.4,1.2,2020-01-02,1345,T,49,6.0NRT,296.2,7.3,N,Northern Territory
1120,1120,-34.358,118.094,high,1.3,1.1,2019-12-29,620,A,76,6.0NRT,312.9,48.0,D,Western Australia
23738,23738,-36.022,149.812,low,1.1,1.0,2020-01-03,1245,T,63,6.0NRT,292.8,24.9,N,New South Wales
26648,26648,-37.24,146.54,high,1.1,1.0,2020-01-04,400,A,100,6.0NRT,317.9,325.0,D,Victoria
5525,5525,-37.608,148.227,moderate,1.1,1.0,2019-12-30,1310,T,90,6.0NRT,301.2,0.0,N,Victoria
20152,20152,-30.818,123.359,very high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,329.2,119.1,D,Western Australia
26250,26250,-37.481,148.563,low,1.0,1.0,2020-01-04,400,A,95,6.0NRT,295.9,52.9,D,Victoria
33451,33451,-32.559,150.473,moderate,1.8,1.3,2020-01-05,30,T,28,6.0NRT,304.1,23.6,D,New South Wales
12098,12098,-31.978,121.524,high,1.5,1.2,2019-12-31,605,A,88,6.0NRT,315.7,52.1,D,Western Australia
5979,5979,-37.46,148.303,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,300.1,0.0,N,Victoria
6858,6858,-36.613,149.608,low,1.2,1.1,2019-12-30,1310,T,100,6.0NRT,296.9,29.5,N,New South Wales
30022,30022,-19.447,143.371,low,2.1,1.4,2020-01-04,1330,T,80,6.0NRT,294.9,21.9,N,Queensland
12062,12062,-32.541,122.003,moderate,1.5,1.2,2019-12-31,605,A,77,6.0NRT,308.3,58.0,D,Western Australia
9580,9580,-36.14,147.72,very low,2.1,1.4,2019-12-30,1445,A,100,6.0NRT,269.9,708.9,N,Victoria
13088,13088,-35.916,147.678,low,1.1,1.1,2019-12-31,1530,A,12,6.0NRT,290.9,6.1,N,New South Wales
12687,12687,-18.409,145.308,low,1.4,1.2,2019-12-31,1525,A,21,6.0NRT,292.6,11.6,N,Queensland
13046,13046,-36.065,149.972,very low,1.5,1.2,2019-12-31,1530,A,64,6.0NRT,286.6,18.4,N,New South Wales
32042,32042,-37.107,149.802,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,298.5,0.0,N,New South Wales
32992,32992,-37.254,148.703,very low,1.1,1.0,2020-01-04,1505,A,90,6.0NRT,284.6,16.9,N,Victoria
33505,33505,-34.306,150.241,low,1.8,1.3,2020-01-05,30,T,39,6.0NRT,296.7,30.3,D,New South Wales
15703,15703,-37.228,148.18,very low,1.0,1.0,2020-01-01,1255,T,84,6.0NRT,285.6,12.7,N,Victoria
9524,9524,-36.032,147.708,very low,2.2,1.4,2019-12-30,1445,A,100,6.0NRT,274.4,104.8,N,Victoria
31837,31837,-36.134,150.007,very low,1.0,1.0,2020-01-04,1505,A,29,6.0NRT,285.2,5.4,N,New South Wales
30543,30543,-37.12,149.578,very low,2.2,1.4,2020-01-04,1325,T,100,6.0NRT,272.5,240.5,N,New South Wales
20906,20906,-36.251,149.994,low,1.1,1.0,2020-01-02,1515,A,0,6.0NRT,292.1,16.3,N,New South Wales
31227,31227,-32.02,151.434,low,1.0,1.0,2020-01-04,1505,A,31,6.0NRT,293.2,4.6,N,New South Wales
17183,17183,-41.661,148.041,very low,2.2,1.4,2020-01-01,1435,A,59,6.0NRT,275.8,57.0,N,Tasmania
22554,22554,-35.913,136.784,moderate,1.1,1.0,2020-01-03,500,A,66,6.0NRT,307.2,26.3,D,South Australia
18529,18529,-37.071,147.275,low,1.0,1.0,2020-01-02,415,A,51,6.0NRT,298.2,11.0,D,Victoria
7697,7697,-35.91,147.629,high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,310.4,232.9,N,New South Wales
19711,19711,-32.384,123.466,high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,319.0,88.4,D,Western Australia
8449,8449,-19.399,143.338,low,1.1,1.0,2019-12-30,1315,T,95,6.0NRT,299.2,14.0,N,Queensland
34498,10151,-24.355,129.131,moderate,1.6,1.2,2019-12-30,1620,A,100,6.0NRT,302.8,66.9,N,Northern Territory
18957,18957,-35.722,148.238,moderate,1.1,1.1,2020-01-02,415,A,100,6.0NRT,301.8,101.3,D,New South Wales
19034,19034,-35.016,150.059,moderate,1.4,1.2,2020-01-02,415,A,47,6.0NRT,305.5,18.7,D,New South Wales
31172,31172,-31.5,151.233,low,1.0,1.0,2020-01-04,1505,A,31,6.0NRT,295.4,5.1,N,New South Wales
718,718,-37.608,149.393,moderate,2.6,1.6,2019-12-29,440,A,99,6.0NRT,301.8,311.2,D,Victoria
9374,9374,-36.253,149.594,low,1.6,1.3,2019-12-30,1445,A,0,6.0NRT,298.9,47.0,N,New South Wales
25401,25401,-36.567,147.916,moderate,1.7,1.3,2020-01-03,2345,T,23,6.0NRT,301.2,30.9,D,Victoria
279,279,-23.713,128.544,high,1.6,1.3,2019-12-29,200,T,82,6.0NRT,312.6,35.5,D,Western Australia
23883,23883,-35.844,148.676,low,1.2,1.1,2020-01-03,1245,T,52,6.0NRT,290.2,16.4,N,New South Wales
8222,8222,-32.588,150.634,low,1.7,1.3,2019-12-30,1310,T,69,6.0NRT,297.5,16.3,N,New South Wales
3471,3471,-33.992,142.206,high,2.1,1.4,2019-12-30,105,T,100,6.0NRT,319.1,827.5,D,New South Wales
14934,14934,-28.134,129.701,very high,1.0,1.0,2020-01-01,510,A,100,6.0NRT,327.6,141.1,D,South Australia
24506,24506,-32.738,150.057,low,4.5,2.0,2020-01-03,1420,A,59,6.0NRT,294.6,64.2,N,New South Wales
15276,15276,-37.547,149.184,very low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,289.4,32.7,N,Victoria
34036,34036,-21.607,148.692,low,1.2,1.1,2020-01-05,1235,T,93,6.0NRT,294.1,15.7,N,Queensland
18872,18872,-35.928,147.914,moderate,1.1,1.0,2020-01-02,415,A,82,6.0NRT,303.5,32.7,D,New South Wales
21248,21248,-37.469,149.764,very low,1.1,1.0,2020-01-02,1520,A,53,6.0NRT,289.3,22.8,N,Victoria
9410,9410,-36.305,149.614,high,1.6,1.3,2019-12-30,1445,A,100,6.0NRT,311.0,303.3,N,New South Wales
26093,26093,-37.485,149.431,very low,1.0,1.0,2020-01-04,400,A,100,6.0NRT,283.6,150.4,D,Victoria
15508,15508,-37.573,148.065,very low,1.0,1.0,2020-01-01,1255,T,12,6.0NRT,284.5,5.4,N,Victoria
16154,16154,-35.903,147.518,low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,296.7,73.1,N,New South Wales
8064,8064,-34.213,150.038,low,1.4,1.2,2019-12-30,1310,T,100,6.0NRT,299.2,80.7,N,New South Wales
